threshold,accuracy,recall,precision,f1,roc_auc,pr_auc,tn_fp_fn_tp
0.35,0.7674911660777385,0.44601769911504424,0.4221105527638191,0.43373493975903615,0.7047764168082986,0.41724191489797086,"[1920, 345, 313, 252]"
0.36,0.7742049469964665,0.43716814159292033,0.43485915492957744,0.43601059135039716,0.7047764168082986,0.41724191489797086,"[1944, 321, 318, 247]"
0.37,0.7795053003533569,0.4247787610619469,0.4452690166975881,0.43478260869565216,0.7047764168082986,0.41724191489797086,"[1966, 299, 325, 240]"
0.38,0.7809187279151943,0.4088495575221239,0.44680851063829785,0.4269870609981516,0.7047764168082986,0.41724191489797086,"[1979, 286, 334, 231]"
0.39,0.7823321554770318,0.3929203539823009,0.4484848484848485,0.4188679245283019,0.7047764168082986,0.41724191489797086,"[1992, 273, 343, 222]"
0.4,0.7869257950530035,0.3911504424778761,0.46041666666666664,0.4229665071770335,0.7047764168082986,0.41724191489797086,"[2006, 259, 344, 221]"
0.41,0.7901060070671378,0.384070796460177,0.468682505399568,0.42217898832684825,0.7047764168082986,0.41724191489797086,"[2019, 246, 348, 217]"
0.42,0.7915194346289752,0.36460176991150445,0.47139588100686497,0.4111776447105788,0.7047764168082986,0.41724191489797086,"[2034, 231, 359, 206]"
0.43,0.7908127208480565,0.35221238938053095,0.4682352941176471,0.402020202020202,0.7047764168082986,0.41724191489797086,"[2039, 226, 366, 199]"
0.44,0.7929328621908127,0.34690265486725663,0.4745762711864407,0.40081799591002043,0.7047764168082986,0.41724191489797086,"[2048, 217, 369, 196]"
0.45,0.7939929328621909,0.3398230088495575,0.47761194029850745,0.39710444674250256,0.7047764168082986,0.41724191489797086,"[2055, 210, 373, 192]"
0.46,0.7975265017667844,0.3345132743362832,0.4896373056994819,0.39747634069400634,0.7047764168082986,0.41724191489797086,"[2068, 197, 376, 189]"
0.47,0.8010600706713781,0.3274336283185841,0.5027173913043478,0.3965702036441586,0.7047764168082986,0.41724191489797086,"[2082, 183, 380, 185]"
0.48,0.8017667844522968,0.31150442477876106,0.5057471264367817,0.3855421686746988,0.7047764168082986,0.41724191489797086,"[2093, 172, 389, 176]"
0.49,0.8031802120141343,0.2991150442477876,0.5121212121212121,0.3776536312849162,0.7047764168082986,0.41724191489797086,"[2104, 161, 396, 169]"
